
transliteration,arabic_title,german_title,verse_count
Al-Fatiha, الفاتحة,Die Eröffnung, 7
Al-Baqara, البقرة,Die Kuh, 286
Al-Imran, آل عمران,Die Familie Imrans, 200
An-Nisa, النساء,Die Frauen, 176 
Al-Maaida, المائدة,Der Tisch, 120 
Al-An'aam, الأنعام,Das Vieh, 165
Al-A'raaf, الأعراف,Die Höhen, 206 
Al-Anfaal, الأنفال,Die Beute, 75 
At-Tawba, التوبة,Die Buße, 129
Yunus, يونس,Jonas, 109 
Hud, هود,Hud, 123
Yusuf, يوسف,Joseph, 111 
Ar-Ra'd, الرعد,Der Donner, 43 
Ibrahim, إبراهيم,Abraham, 52 
Al-Hijr, الحجر,Das steinige Land, 99
An-Nahl, النحل,Die Biene, 128 
Al-Israa, الإسراء,Die nächtliche Reise, 111 
Al-Kahf, الكهف,Die Höhle, 110
Maryam, مريم,Maria, 98
Taa-Haa, طه,Ta-Ha, 135
Al-Anbiyaa, الأنبياء,Die Propheten, 112
Al-Hajj, الحج,Die Wallfahrt, 78
Al-Muminoon, المؤمنون,Die Gläubigen, 118
An-Noor, النور,Das Licht, 64
Al-Furqaan, الفرقان,Die Rettung, 77
Ash-Shu'araa, الشعراء,Die Dichter, 227
An-Naml, النمل,Die Ameisen, 93
Al-Qasas, القصص,Die Geschichte, 88
Al-Ankaboot, العنكبوت,Die Spinne, 69
Ar-Room, الروم,Die Römer, 60
Luqman, لقمان,Luqman, 34
As-Sajda, السجدة,Die Anbetung, 30
Al-Ahzaab, الأحزاب,Die Gruppen, 73
Saba, سبأ,Die Sabäer, 54
Faatir, فاطر, Der Schöpfer, 45
Yaseen, يس, Ya-Sin, 83
As-Saaffaat, الصافات, Die in Reih und Glied stehen, 182
Saad, ص, Sad, 88
Az-Zumar, الزمر, Die Scharen, 75
Al-Ghaafir, غافر, Der Vergebende, 85
Fussilat, فصلت, Auseinandergesetzt, 54
Ash-Shura, الشورى, Die Beratung, 53
Az-Zukhruf, الزخرف, Der Prunk, 89
Ad-Dukhaan, الدخان, Der Rauch, 59 
Al-Jaathiya, الجاثية, Das Knien, 37 
Al-Ahqaf, الأحقاف, Die Dünen, 35 
Muhammad, محمد, Mohammad, 38 
Al-Fath, الفتح, Der Erfolg, 29
Al-Hujuraat, الحجرات, Die Gemächer, 18 
Qaaf, ق, Qaf, 45
Adh-Dhaariyat, الذاريات, Das Aufwirbeln, 60
At-Tur, الطور, Der Berg, 49
An-Najm, النجم, Der Stern, 62 
Al-Qamar, القمر, Der Mond, 55
Ar-Rahmaan, الرحمن, Der Barmherzige, 78 
Al-Waaqia, الواقعة, Die hereinbrechende Katastrophe, 96 
Al-Hadid, الحديد, Das Eisen, 29
Al-Mujaadila, المجادلة, Der Streit, 22 
Al-Hashr, الحشر, Die Versammlung, 24 
Al-Mumtahana, الممتحنة, Die Prüfung, 13 
As-Saff, الصف, Reih und Glied, 14 
Al-Jumu'a, الجمعة, Der Freitag, 11
Al-Munaafiqoon, المنافقون, Die Heuchler, 11
At-Taghaabun, التغابن, Die Übervorteilung, 18
At-Talaaq, الطلاق, Die Entlassung (Scheidung), 12
At-Tahrim, التحريم, Das Verbot, 12
Al-Mulk, الملك, Die Königsherrschaft, 30
Al-Qalam, القلم, Die Schreibfeder, 52
Al-Haaqqa, الحاقة, Die Wahrheit, 52
Al-Ma'aarij, المعارج, Die Himmelsleiter, 44 
Nooh, نوح, Noah, 28
Al-Jinn, الجن, Die Jinn, 28
Al-Muzzammil, المزمل, Der sich eingehüllt hat, 20
Al-Muddaththir, المدثر, Der sich zugedeckt hat, 56
Al-Qiyaama, القيامة, Die Auferstehung, 40
Al-Insaan, الإنسان, Der Mensch, 31
Al-Mursalaat, المرسلات, Die Gesandten, 50
An-Naba, النبأ, Die Ankündigung, 40
An-Naazi'aat, النازعات, Die ausziehen, 46
Abasa, عبس, Er zog die Stirne kraus, 42
At-Takwir, التكوير, Das Einhüllen, 29
Al-Infitaar, الإنفطار, Die Spaltung, 19
Al-Mutaffifin, المطففين, Die Betrüger, 36
Al-Inshiqaaq, الإنشقاق, Das Zerbrechen, 25
Al-Burooj, البروج, Die Türme, 22
At-Taariq, الطارق, Der bei Nacht kommende, 17
Al-A'laa, الأعلى, Der Allerhöchste, 19
Al-Ghaashiya, الغاشية, Die zudecken wird, 26
Al-Fajr, الفجر, Die Morgendämmerung, 30
Al-Balad, البلد, Die Stadt, 20
Ash-Shams, الشمس, Die Sonne, 15
Al-Lail, الليل, Die Nacht, 21
Ad-Dhuhaa, الضحى, Der Morgen, 11 
Ash-Sharh, الإنشراح, Das Weiten, 8 
At-Tin, التين, Die Feigenbäume, 8 
